Letter Id;Mentioned Person
huyg003/1516;Auzout, Adrien
huyg003/1517;Auzout, Adrien
huyg003/1547;Auzout, Adrien
huyg003/1551;Auzout, Adrien
huyg003/1566a;Auzout, Adrien
huyg003/1547;Frénicle de Bessy, Bernard
huyg003/1551;Frénicle de Bessy, Bernard
huyg003/1523;Carcavy, Pierre de
huyg003/1547;Carcavy, Pierre de
huyg003/1551;Carcavy, Pierre de
huyg003/1550;Carcavy, Pierre de
huyg003/1554;Carcavy, Pierre de
huyg003/1565;Carcavy, Pierre de
huyg003/1566a;Carcavy, Pierre de
huyg003/L;Carcavy, Pierre de
huyg003/1511;Cassini, Giovanni Domenico
huyg003/1512;Cassini, Giovanni Domenico
huyg003/1518;Cassini, Giovanni Domenico
huyg003/1515;Cassini, Giovanni Domenico
huyg003/1517;Cassini, Giovanni Domenico
huyg003/1523;Cassini, Giovanni Domenico
huyg003/1524;Cassini, Giovanni Domenico
huyg003/1530;Cassini, Giovanni Domenico
huyg003/1547;Cassini, Giovanni Domenico
huyg003/1548;Cassini, Giovanni Domenico
huyg003/1558;Cassini, Giovanni Domenico
huyg003/2165;Descartes, René
huyg003/1514;Descartes, René
huyg003/1516;Descartes, René
huyg003/1531;Descartes, René
huyg003/1518;Golius, Jacobus
huyg003/1518;Hevelius, Johannes
huyg003/1524;Hevelius, Johannes
huyg003/1547;Hevelius, Johannes
huyg003/1518;Hooke, Robert
huyg003/1517;Hooke, Robert
huyg003/1530;Hooke, Robert
huyg001/6554;Huygens, Christiaan
huyg003/1547;Huygens, Christiaan
huyg003/1551;Huygens, Christiaan
huyg001/6585;Huygens, Christiaan
huyg003/1551;Kepler, Johannes
huyg003/1551;Petit, Pierre
huyg003/1547;Roberval, Gilles Personne de
huyg003/1551;Roberval, Gilles Personne de
huyg003/1548;Sluse, René François de
huyg003/1561;Sluse, René François de
huyg003/1547;Wallis, John
huyg003/1577;Auzout, Adrien
huyg003/1593;Carcavy, Pierre de
huyg003/1589;Carcavy, Pierre de
huyg003/1601;Carcavy, Pierre de
huyg003/1604;Carcavy, Pierre de
huyg003/1606;Carcavy, Pierre de
huyg003/1608;Carcavy, Pierre de
huyg003/1610;Cassini, Giovanni Domenico
huyg003/1610;Descartes, René
huyg003/1610;Galilei, Galileo
huyg003/LII;Hevelius, Johannes
huyg003/1577;Hevelius, Johannes
huyg003/1603;Hudde, Johannes
huyg001/6600;Huygens, Christiaan
huyg001/6632;Huygens, Christiaan
